Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Pacific Lutheran University,3.28,Phd,Denver,M,0,0,0,4,Marine Biologist,05/16,04/17,Cybersecurity Analyst,03/14,06/14,N/A,N/A,N/A,0.51
2,Temple University School of Podiatric Medicine,3.52,Phd,Garland,M,0,0,0,4,Marine Biologist,12/19,05/21,Real Estate Agent,11/14,04/16,N/A,N/A,N/A,5.63
3,Marywood University,3.45,Masters,Stockton,N/A,1,0,1,4,Industrial Designer,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A,9.48
4,Simon's Rock College,3.27,Phd,Los Angeles,F,N/A,0,1,4,Software Developer,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,7.51
5,Pacific University,3.96,Phd,Indianapolis,M,0,0,1,1,Financial Analyst,07/20,01/22,Forensic Accountant,04/17,04/18,N/A,N/A,N/A,1.54
6,Oklahoma Christian University,3.81,Phd,New Orleans,N/A,1,1,0,0,Veterinarian,04/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A,1.3
7,University of South Carolina,3.29,Masters,Scottsdale,F,1,0,0,0,Pharmacist,04/20,12/21,IT Consultant,12/16,07/18,N/A,N/A,N/A,2.57
8,Northern Michigan University,3.39,Bachelors,North Las Vegas,M,0,0,0,2,Logistician,08/19,01/21,Supply Chain Analyst,12/18,08/19,Firefighter,08/16,04/18,0.43
9,University of Maryland at Baltimore,2.1,Bachelors,Lincoln,F,0,1,1,1,Occupational Therapist,06/17,01/19,Software Developer,10/15,12/15,Sales Representative,06/14,05/15,1.14
10,Barat College,3.34,Masters,Nashville,F,N/A,0,0,4,Mechanical Engineer,08/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A,7.9
11,Emmanuel College Georgia,2.09,Bachelors,San Diego,M,N/A,0,1,0,SEO Specialist,08/14,10/15,Financial Analyst,03/14,08/14,Firefighter,03/14,07/15,1.37
