applicant_id,score
"1","0.51"
"2","5.63"
"3","9.48"
"4","7.51"
"5","1.54"
"6","1.3"
"7","2.57"
"8","0.43"
"9","1.14"
"10","7.9"
"11","1.37"
"12","2.06"
"13","4.68"
"14","1.12"
"15","0.46"
"16","9.4"
"17","5.98"
"18","6.88"
"19","2.71"
"20","0.56"
"21","8.68"
"22","1.57"
"23","3.9"
"24","7.9"
"25","9.67"
"26","7.12"
"27","2.78"
"28","9.6"
"29","1.31"
"30","2.6"
"31","0.86"
"32","1.17"
"33","7.92"
"34","0.49"
"35","9.87"
"36","8.67"
"37","9.88"
"38","5.39"
"39","4.74"
"40","1.96"
"41","9.0"
"42","9.79"
"43","5.86"
"44","4.49"
"45","9.75"
"46","7.77"
"47","5.07"
"48","7.72"
"49","6.93"
"50","1.07"
"51","4.58"
"52","1.49"
"53","8.77"
"54","0.42"
"55","6.1"
"56","1.69"
"57","9.01"
"58","7.89"
"59","8.82"
"60","1.29"
"61","9.25"
"62","2.54"
"63","3.04"
"64","5.16"
"65","9.42"
"66","8.85"
"67","1.44"
"68","4.1"
"69","4.09"
"70","7.91"
"71","1.66"
"72","6.37"
"73","1.33"
"74","7.27"
"75","8.88"
"76","0.45"
"77","4.57"
"78","9.76"
"79","4.83"
"80","0.8"
"81","5.77"
"82","7.74"
"83","5.89"
"84","4.0"
"85","9.77"
"86","3.72"
"87","6.48"
"88","5.87"
"89","5.87"
"90","4.54"
"91","5.67"
"92","4.11"
"93","6.81"
"94","9.72"
"95","5.94"
"96","3.79"
"97","7.93"
"98","5.44"
"99","3.26"
"100","4.27"
"101","6.55"
"102","1.87"
"103","0.58"
"104","6.58"
"105","0.61"
"106","8.45"
"107","2.23"
"108","9.59"
"109","8.9"
"110","4.2"
"111","6.64"
"112","2.72"
"113","3.19"
"114","0.21"
"115","8.59"
"116","2.65"
"117","9.83"
"118","6.06"
"119","6.31"
"120","2.71"
"121","3.83"
"122","3.18"
"123","4.67"
"124","6.59"
"125","3.46"
"126","0.55"
"127","7.89"
"128","8.43"
"129","9.95"
"130","2.59"
"131","8.95"
"132","5.07"
"133","2.51"
"134","2.3"
"135","2.64"
"136","4.94"
"137","3.98"
"138","8.34"
"139","7.13"
"140","3.04"
"141","1.66"
"142","7.21"
"143","6.98"
"144","4.59"
"145","7.21"
"146","2.53"
"147","1.18"
"148","1.2"
"149","5.46"
"150","5.68"
"151","1.73"
"152","6.12"
"153","5.13"
"154","2.1"
"155","3.16"
"156","0.01"
"157","2.71"
"158","6.13"
"159","4.93"
"160","3.13"
"161","6.81"
"162","1.66"
"163","1.32"
"164","1.35"
"165","9.77"
"166","8.19"
"167","6.84"
"168","2.91"
"169","1.11"
"170","9.13"
"171","4.54"
"172","3.09"
"173","0.66"
"174","9.9"
"175","1.84"
"176","4.99"
"177","7.64"
"178","7.58"
"179","7.88"
"180","8.19"
"181","7.25"
"182","0.3"
"183","0.94"
"184","6.98"
"185","4.53"
"186","0.7"
"187","7.22"
"188","9.85"
"189","4.22"
"190","3.11"
"191","2.83"
"192","3.93"
"193","0.95"
"194","1.29"
"195","0.51"
"196","8.52"
"197","4.79"
"198","2.85"
"199","0.09"
"200","2.69"
"201","1.31"
"202","8.23"
"203","8.55"
"204","0.17"
"205","4.69"
"206","6.8"
"207","5.17"
"208","5.25"
"209","6.54"
"210","9.79"
"211","4.22"
"212","7.41"
"213","4.58"
"214","2.4"
"215","5.6"
"216","0.56"
"217","8.15"
"218","8.34"
"219","5.59"
"220","0.03"
"221","6.19"
"222","2.38"
"223","4.87"
"224","1.62"
"225","5.84"
"226","9.67"
"227","4.04"
"228","8.99"
"229","9.99"
"230","9.69"
"231","2.31"
"232","5.7"
"233","1.22"
"234","8.37"
"235","5.53"
"236","0.79"
"237","3.52"
"238","1.65"
"239","6.38"
"240","4.06"
"241","4.64"
"242","6.7"
"243","7.28"
"244","0.21"
"245","9.52"
"246","6.28"
"247","5.39"
"248","3.97"
"249","2.02"
"250","1.78"
"251","2.62"
"252","8.22"
"253","1.75"
"254","0.65"
"255","2.5"
"256","0.02"
"257","1.98"
"258","4.9"
"259","5.16"
"260","8.34"
"261","0.12"
"262","4.48"
"263","3.89"
"264","7.42"
"265","0.24"
"266","8.14"
"267","1.34"
"268","1.18"
"269","5.79"
"270","3.07"
"271","6.7"
"272","3.07"
"273","6.66"
"274","2.35"
"275","9.38"
"276","9.64"
"277","8.79"
"278","0.26"
"279","4.25"
"280","7.86"
"281","3.98"
"282","9.96"
"283","0.9"
"284","1.5"
"285","9.85"
"286","3.82"
"287","9.77"
"288","6.63"
"289","4.92"
"290","5.62"
"291","6.16"
"292","3.48"
"293","8.85"
"294","5.35"
"295","3.09"
"296","2.68"
"297","8.89"
"298","8.81"
"299","3.49"
"300","8.48"
"301","2.34"
"302","6.48"
"303","7.77"
"304","1.41"
"305","9.23"
"306","1.96"
"307","8.53"
"308","2.82"
"309","0.63"
"310","0.55"
"311","9.24"
"312","3.89"
"313","3.35"
"314","7.65"
"315","3.49"
"316","4.97"
"317","0.35"
"318","4.77"
"319","9.35"
"320","9.25"
"321","7.14"
"322","6.87"
"323","8.62"
"324","9.6"
"325","2.74"
"326","4.24"
"327","5.18"
"328","3.35"
"329","6.72"
"330","4.37"
"331","7.14"
"332","8.16"
"333","1.61"
"334","9.23"
"335","2.94"
"336","4.77"
"337","2.62"
"338","4.78"
"339","9.9"
"340","5.36"
"341","8.11"
"342","3.0"
"343","9.67"
"344","5.36"
"345","0.12"
"346","1.78"
"347","8.35"
"348","2.95"
"349","7.04"
"350","0.25"
"351","8.08"
"352","9.75"
"353","0.15"
"354","1.13"
"355","6.97"
"356","1.36"
"357","7.59"
"358","0.95"
"359","6.51"
"360","5.46"
"361","7.38"
"362","8.1"
"363","1.84"
"364","9.06"
"365","7.92"
"366","0.3"
"367","7.94"
"368","3.83"
"369","9.15"
"370","2.65"
"371","1.9"
"372","4.09"
"373","2.53"
"374","7.49"
"375","7.21"
"376","5.02"
"377","4.22"
"378","8.86"
"379","1.02"
"380","0.39"
"381","3.13"
"382","2.58"
"383","6.7"
"384","7.4"
"385","9.15"
"386","3.23"
"387","3.86"
"388","2.69"
"389","0.01"
"390","9.01"
"391","3.28"
"392","9.22"
"393","5.65"
"394","1.89"
"395","4.46"
"396","4.77"
"397","1.31"
"398","1.47"
"399","1.88"
"400","0.4"
"401","8.97"
"402","8.03"
"403","4.27"
"404","7.71"
"405","8.25"
"406","0.64"
"407","9.26"
"408","6.39"
"409","6.91"
"410","2.42"
"411","8.0"
"412","1.04"
"413","0.94"
"414","3.31"
"415","0.86"
"416","5.53"
"417","9.95"
"418","6.76"
"419","0.48"
"420","4.66"
"421","2.04"
"422","4.08"
"423","8.57"
"424","3.09"
"425","9.17"
"426","5.11"
"427","8.56"
"428","1.63"
"429","7.94"
"430","9.92"
"431","2.67"
"432","1.04"
"433","8.87"
"434","6.64"
"435","9.37"
"436","5.57"
"437","9.0"
"438","8.68"
"439","3.12"
"440","3.52"
"441","9.94"
"442","5.75"
"443","2.95"
"444","6.27"
"445","8.28"
"446","9.59"
"447","1.9"
"448","9.39"
"449","2.86"
"450","7.73"
"451","8.08"
"452","8.97"
"453","9.17"
"454","3.3"
"455","2.45"
"456","8.19"
"457","3.8"
"458","8.31"
"459","1.75"
"460","3.2"
"461","9.02"
"462","7.21"
"463","1.0"
"464","1.59"
"465","5.65"
"466","2.38"
"467","7.95"
"468","9.31"
"469","0.46"
"470","9.97"
"471","9.12"
"472","2.96"
"473","3.99"
"474","7.39"
"475","3.64"
"476","9.94"
"477","9.18"
"478","5.37"
"479","1.33"
"480","7.7"
"481","0.9"
"482","1.81"
"483","6.69"
"484","4.61"
"485","1.65"
"486","0.67"
"487","1.33"
"488","6.59"
"489","0.89"
"490","6.71"
"491","3.35"
"492","7.77"
"493","8.03"
"494","2.52"
"495","4.72"
"496","8.37"
"497","9.63"
"498","9.99"
"499","0.13"
"500","1.02"
"501","2.87"
"502","2.99"
"503","6.23"
"504","7.33"
"505","1.83"
"506","5.68"
"507","5.26"
"508","4.36"
"509","0.06"
"510","3.26"
"511","8.52"
"512","4.72"
"513","6.17"
"514","8.29"
"515","8.47"
"516","0.14"
"517","2.46"
"518","9.68"
"519","8.77"
"520","8.75"
"521","4.72"
"522","2.98"
"523","7.63"
"524","4.77"
"525","2.66"
"526","2.18"
"527","6.8"
"528","7.71"
"529","5.08"
"530","8.86"
"531","6.7"
"532","3.52"
"533","5.82"
"534","1.75"
"535","3.11"
"536","6.13"
"537","7.51"
"538","4.3"
"539","8.63"
"540","8.85"
"541","9.67"
"542","7.52"
"543","7.16"
"544","9.71"
"545","3.28"
"546","8.51"
"547","3.29"
"548","4.73"
"549","5.34"
"550","7.55"
"551","6.77"
"552","8.62"
"553","5.56"
"554","5.23"
"555","6.31"
"556","7.71"
"557","8.99"
"558","1.34"
"559","3.87"
"560","8.81"
"561","6.53"
"562","5.27"
"563","6.17"
"564","5.87"
"565","3.69"
"566","9.04"
"567","6.3"
"568","1.24"
"569","4.15"
"570","6.33"
"571","9.57"
"572","3.88"
"573","7.68"
"574","7.2"
"575","3.97"
"576","1.41"
"577","9.11"
"578","7.65"
"579","6.16"
"580","3.01"
"581","9.73"
"582","3.82"
"583","3.02"
"584","0.68"
"585","5.83"
"586","8.39"
"587","1.72"
"588","8.08"
"589","9.04"
"590","8.49"
"591","5.97"
"592","9.36"
"593","2.53"
"594","2.9"
"595","5.61"
"596","3.91"
"597","8.08"
"598","1.03"
"599","3.26"
"600","8.33"
"601","4.54"
"602","6.68"
"603","4.97"
"604","2.51"
"605","7.44"
"606","7.15"
"607","4.2"
"608","6.91"
"609","1.38"
"610","8.48"
"611","6.2"
"612","5.84"
"613","5.44"
"614","1.62"
"615","7.99"
"616","0.26"
"617","1.31"
"618","2.57"
"619","3.09"
"620","5.52"
"621","8.36"
"622","9.54"
"623","3.0"
"624","3.08"
"625","0.23"
"626","0.6"
"627","6.27"
"628","2.45"
"629","5.72"
"630","7.62"
"631","3.61"
"632","1.02"
"633","4.64"
"634","3.11"
"635","5.67"
"636","5.24"
"637","8.34"
"638","8.32"
"639","8.95"
"640","1.56"
"641","0.32"
"642","3.89"
"643","6.36"
"644","4.18"
"645","7.14"
"646","5.44"
"647","7.62"
"648","1.38"
"649","0.42"
"650","9.52"
"651","5.09"
"652","3.09"
"653","4.27"
"654","6.24"
"655","9.75"
"656","4.93"
"657","9.52"
"658","6.64"
"659","5.79"
"660","1.58"
"661","8.84"
"662","2.83"
