Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Pacific Lutheran University,3.28,Phd,Denver,M,0,0,0,4,Marine Biologist,05/16,04/17,Cybersecurity Analyst,03/14,06/14,N/A,N/A,N/A,6.8
2,Temple University School of Podiatric Medicine,3.52,Phd,Garland,M,0,0,0,4,Marine Biologist,12/19,05/21,Real Estate Agent,11/14,04/16,N/A,N/A,N/A,3.59
3,Marywood University,3.45,Masters,Stockton,N/A,1,0,1,4,Industrial Designer,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A,4.91
4,Simon's Rock College,3.27,Phd,Los Angeles,F,N/A,0,1,4,Software Developer,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,5.61
5,Pacific University,3.96,Phd,Indianapolis,M,0,0,1,1,Financial Analyst,07/20,01/22,Forensic Accountant,04/17,04/18,N/A,N/A,N/A,8.77
6,Oklahoma Christian University,3.81,Phd,New Orleans,N/A,1,1,0,0,Veterinarian,04/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A,9.41
7,University of South Carolina,3.29,Masters,Scottsdale,F,1,0,0,0,Pharmacist,04/20,12/21,IT Consultant,12/16,07/18,N/A,N/A,N/A,2.37
8,Northern Michigan University,3.39,Bachelors,North Las Vegas,M,0,0,0,2,Logistician,08/19,01/21,Supply Chain Analyst,12/18,08/19,Firefighter,08/16,04/18,4.8
9,University of Maryland at Baltimore,2.1,Bachelors,Lincoln,F,0,1,1,1,Occupational Therapist,06/17,01/19,Software Developer,10/15,12/15,Sales Representative,06/14,05/15,4.25
10,Barat College,3.34,Masters,Nashville,F,N/A,0,0,4,Mechanical Engineer,08/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A,9.06
11,Emmanuel College Georgia,2.09,Bachelors,San Diego,M,N/A,0,1,0,SEO Specialist,08/14,10/15,Financial Analyst,03/14,08/14,Firefighter,03/14,07/15,3.85
12,Rush University,3.18,Phd,Washington,M,0,0,1,3,Occupational Therapist,12/20,04/21,SEO Specialist,05/19,01/21,High School Teacher,11/17,01/18,2.17
13,College of New Rochelle,4.0,Bachelors,Winston–Salem,M,N/A,1,1,3,Graphic Designer,02/21,08/21,Mechanical Engineer,02/18,05/19,Environmental Scientist,06/14,02/15,8.39
14,The Art Institute of Boston,3.11,Phd,Stockton,F,1,0,0,3,Multimedia Artist,05/20,04/21,Project Manager,06/17,06/18,Biomedical Engineer,12/15,01/17,9.05
15,Atlantic International University,2.95,Bachelors,Wichita,F,N/A,1,0,4,Firefighter,12/16,09/17,Speech-Language Pathologist,11/16,07/17,N/A,N/A,N/A,7.1
16,St. Bernard's Institute,2.63,Masters,Philadelphia,N/A,N/A,1,0,4,Social Media Coordinator,03/14,10/15,Industrial Designer,01/14,12/15,N/A,N/A,N/A,6.38
17,Pacifica Graduate Institute,2.24,Bachelors,Greensboro,F,1,0,1,2,Industrial Designer,03/17,09/18,N/A,N/A,N/A,N/A,N/A,N/A,0.75
18,McMurry University,3.46,Bachelors,Hialeah,M,N/A,1,0,2,Pediatric Nurse,01/15,01/17,Investment Banker,10/14,12/15,Marketing Manager,08/14,11/14,2.85
19,University of North Carolina at Charlotte,2.39,Bachelors,Virginia Beach,F,1,0,0,2,Event Planner,12/19,09/20,Project Manager,02/16,05/16,Paramedic,05/15,08/16,0.84
20,Bastyr University,2.23,Masters,Honolulu,N/A,N/A,0,1,3,Industrial Designer,03/16,08/16,Occupational Therapist,12/15,08/17,Data Scientist,09/15,02/17,1.46
21,University of North Carolina at Asheville,2.84,Bachelors,Lincoln,N/A,0,0,1,4,Software Developer,10/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A,9.44
22,Southern Utah University,3.59,Masters,Las Vegas,M,N/A,0,0,3,SEO Specialist,05/16,08/17,Social Media Coordinator,01/14,09/15,N/A,N/A,N/A,7.63
23,Lees-McRae College,3.49,Phd,Charlotte,M,0,0,1,2,Content Writer,05/16,03/17,Fashion Designer,01/16,07/17,Real Estate Agent,08/14,08/16,1.7
24,College of the Ozarks,2.11,Bachelors,Wichita,N/A,0,1,0,4,Cybersecurity Analyst,06/15,09/15,Content Writer,06/14,04/15,N/A,N/A,N/A,7.22
25,Thomas Aquinas College,2.91,Masters,Lubbock,N/A,0,1,1,1,Pharmacist,12/18,09/20,N/A,N/A,N/A,N/A,N/A,N/A,3.94
26,St. Olaf College,3.04,Masters,Chula Vista,N/A,0,1,1,0,Logistician,02/21,11/22,Graphic Designer,03/16,06/16,N/A,N/A,N/A,2.39
27,Louisiana State University at Eunice,3.29,Bachelors,Corpus Christi,M,0,1,0,0,Occupational Therapist,09/17,10/18,Event Planner,06/17,02/18,Veterinarian,09/15,08/17,9.61
28,Dakota Wesleyan University,3.3,Phd,Irving,N/A,1,0,1,2,Content Writer,11/18,09/19,Marine Biologist,12/15,05/17,N/A,N/A,N/A,6.58
29,Rider University,2.73,Masters,St. Petersburg,N/A,1,0,1,3,IT Consultant,10/15,10/16,Urban Planner,08/14,06/15,N/A,N/A,N/A,9.59
30,Morningside College,3.12,Bachelors,Baton Rouge,M,1,1,1,1,Occupational Therapist,10/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A,1.99
31,Chaminade University of Honolulu,2.96,Phd,Honolulu,F,0,0,0,4,Fashion Designer,06/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,2.71
32,Princeton University,3.77,Masters,Wichita,F,N/A,1,1,3,Telecommunications Specialist,02/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,6.33
33,Elmhurst College,3.06,Masters,El Paso,N/A,1,1,1,2,Civil Engineer,06/18,05/20,N/A,N/A,N/A,N/A,N/A,N/A,6.64
34,Southwest Baptist University,2.88,Phd,San Bernardino,F,N/A,1,0,3,Pediatric Nurse,11/15,05/16,Financial Analyst,10/15,07/16,N/A,N/A,N/A,7.99
35,Alfred Adler Graduate School,2.81,Phd,Oklahoma City,F,N/A,1,0,2,Real Estate Agent,10/18,08/19,Data Scientist,11/17,10/19,N/A,N/A,N/A,5.01
36,Carroll College Helena,3.14,Bachelors,El Paso,F,0,0,1,0,Financial Analyst,12/16,12/18,N/A,N/A,N/A,N/A,N/A,N/A,9.57
37,Lagrange College,3.61,Bachelors,Chula Vista,F,0,0,1,0,Graphic Designer,12/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,7.61
38,Marymount University,3.08,Masters,Houston,N/A,0,1,1,3,Mechanical Engineer,07/14,03/15,Pediatric Nurse,02/14,01/15,Marketing Manager,02/14,10/14,9.03
39,University of Central Arkansas,3.32,Phd,Henderson,F,1,1,0,1,Pharmacist,04/19,11/20,Paramedic,05/14,03/16,Sales Representative,05/14,01/15,9.08
40,Evangel University,3.48,Phd,Durham,F,0,1,1,4,Graphic Designer,11/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,6.03
41,Ohio State University - Lima,3.04,Phd,Glendale,M,1,1,0,2,Software Developer,10/15,01/17,Environmental Scientist,05/15,12/15,N/A,N/A,N/A,5.17
42,Fort Valley State College,2.85,Masters,Winston–Salem,N/A,1,1,0,4,Web Developer,12/21,06/23,N/A,N/A,N/A,N/A,N/A,N/A,2.41
43,University of Pennsylvania,3.75,Phd,Montreal,M,1,0,1,0,Veterinarian,05/19,04/21,Marine Biologist,12/14,11/16,N/A,N/A,N/A,3.57
44,The Illinois Institute of Art-Chicago,2.84,Phd,Charlotte,M,1,1,1,1,Chemical Technician,11/20,06/21,AI Researcher,06/18,05/19,N/A,N/A,N/A,8.68
45,Johns Hopkins University,2.92,Masters,Tucson,N/A,0,1,0,1,Supply Chain Analyst,07/20,06/22,Quality Assurance Manager,08/19,08/20,Civil Engineer,03/15,07/15,6.4
46,Mount Vernon College,3.98,Bachelors,Milwaukee,F,1,0,1,4,Fashion Designer,08/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A,5.28
47,Vassar College,2.0,Bachelors,Bakersfield,M,0,0,1,0,Investment Banker,08/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A,7.1
48,Brenau University,2.37,Masters,Chula Vista,N/A,0,0,0,4,Software Developer,02/15,09/15,Veterinarian,04/14,02/16,N/A,N/A,N/A,4.98
49,Morris College,2.77,Phd,Atlanta,F,1,0,1,3,Quality Assurance Manager,12/17,04/19,N/A,N/A,N/A,N/A,N/A,N/A,8.15
50,ITT Technical Institute Portland,3.87,Masters,Tucson,N/A,0,0,0,1,High School Teacher,09/14,06/15,Paramedic,09/14,02/16,Investment Banker,06/14,07/15,3.79
