applicant_id,score
"1","6.8"
"2","3.59"
"3","4.91"
"4","5.61"
"5","8.77"
"6","9.41"
"7","2.37"
"8","4.8"
"9","4.25"
"10","9.06"
"11","3.85"
"12","2.17"
"13","8.39"
"14","9.05"
"15","7.1"
"16","6.38"
"17","0.75"
"18","2.85"
"19","0.84"
"20","1.46"
"21","9.44"
"22","7.63"
"23","1.7"
"24","7.22"
"25","3.94"
"26","2.39"
"27","9.61"
"28","6.58"
"29","9.59"
"30","1.99"
"31","2.71"
"32","6.33"
"33","6.64"
"34","7.99"
"35","5.01"
"36","9.57"
"37","7.61"
"38","9.03"
"39","9.08"
"40","6.03"
"41","5.17"
"42","2.41"
"43","3.57"
"44","8.68"
"45","6.4"
"46","5.28"
"47","7.1"
"48","4.98"
"49","8.15"
"50","3.79"
"51","7.86"
"52","5.71"
"53","0.98"
"54","9.64"
"55","9.81"
"56","4.33"
"57","8.36"
"58","0.08"
"59","9.89"
"60","0.58"
"61","1.86"
"62","0.16"
"63","9.58"
"64","2.17"
"65","4.42"
"66","6.68"
"67","5.04"
"68","9.12"
"69","9.77"
"70","3.87"
"71","8.58"
"72","0.17"
"73","7.5"
"74","4.31"
"75","1.42"
"76","5.9"
"77","4.66"
"78","7.04"
"79","7.93"
"80","9.5"
"81","4.72"
"82","4.64"
"83","0.12"
"84","0.86"
"85","7.63"
"86","3.31"
"87","5.91"
"88","0.08"
"89","5.0"
"90","8.76"
"91","7.18"
"92","2.63"
"93","1.97"
"94","6.07"
"95","6.99"
"96","6.94"
"97","0.94"
"98","0.51"
"99","9.33"
"100","9.55"
"101","6.53"
"102","2.91"
"103","6.6"
"104","6.24"
"105","3.67"
"106","3.22"
"107","8.03"
"108","7.57"
"109","8.99"
"110","9.42"
"111","4.75"
"112","2.31"
"113","3.08"
"114","0.39"
"115","7.68"
"116","1.33"
"117","6.2"
"118","2.85"
"119","2.33"
"120","8.93"
"121","3.7"
"122","3.86"
"123","2.33"
"124","2.16"
"125","9.04"
"126","4.81"
"127","0.57"
"128","5.55"
"129","6.51"
"130","2.44"
"131","7.63"
"132","9.11"
"133","7.39"
