,Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
0,1,Pacific Lutheran University,2.09,Masters,Oklahoma City,N/A,N/A,1,0,4,Marine Biologist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,1.49,0
1,2,Temple University School of Podiatric Medicine,3.24,Phd,Houston,M,0,1,N/A,2,Cybersecurity Analyst,12/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A,4.92,1
2,3,Marywood University,3.12,Bachelors,Honolulu,F,1,1,1,0,Marine Biologist,12/19,05/21,Real Estate Agent,11/14,04/16,Industrial Designer,04/14,04/16,6.36,0
3,4,Simon's Rock College,2.69,Phd,Columbus,N/A,0,0,1,4,Software Developer,08/18,08/19,Financial Analyst,12/14,06/16,N/A,N/A,N/A,9.31,0
4,5,Pacific University,2.63,Bachelors,Charlotte,F,N/A,0,N/A,1,Forensic Accountant,10/21,01/23,N/A,N/A,N/A,N/A,N/A,N/A,7.61,0
5,6,Oklahoma Christian University,3.54,Masters,Irvine,M,0,1,N/A,4,Biomedical Engineer,03/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,4.49,1
6,7,University of South Carolina,2.17,Bachelors,Plano,M,N/A,0,1,4,Pharmacist,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,6.96,0
7,8,Northern Michigan University,2.47,Masters,Norfolk,F,N/A,0,1,2,IT Consultant,12/16,07/18,Logistician,12/15,08/16,N/A,N/A,N/A,2.86,0
8,9,University of Maryland at Baltimore,3.46,Masters,Chandler,M,0,1,0,0,Firefighter,07/15,04/17,Software Developer,04/15,04/17,N/A,N/A,N/A,1.71,1
9,10,Barat College,3.1,Bachelors,Cincinnati,F,N/A,0,1,2,Biomedical Engineer,11/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,9.92,1
10,11,Emmanuel College Georgia,2.26,Bachelors,Aurora,F,N/A,0,0,0,Public Relations Officer,09/20,06/22,SEO Specialist,08/14,10/15,Financial Analyst,03/14,08/14,6.63,0
11,12,Rush University,3.76,Masters,St. Louis,F,1,1,0,0,Firefighter,01/18,05/19,Project Manager,02/14,10/14,Pediatric Nurse,01/14,03/14,5.66,0
12,13,College of New Rochelle,2.79,Phd,Baton Rouge,M,0,1,1,3,Graphic Designer,02/21,08/21,Mechanical Engineer,02/18,05/19,N/A,N/A,N/A,8.49,0
13,14,The Art Institute of Boston,3.66,Bachelors,Richmond,N/A,0,1,0,2,Environmental Scientist,04/18,12/18,Customer Service Manager,09/16,08/17,AI Researcher,03/16,02/17,7.41,0
14,15,Atlantic International University,3.58,Masters,Baton Rouge,F,N/A,1,0,1,Project Manager,06/17,06/18,N/A,N/A,N/A,N/A,N/A,N/A,9.56,0
15,16,St. Bernard's Institute,3.25,Masters,Chicago,N/A,N/A,0,N/A,4,Biomedical Engineer,07/21,08/22,Firefighter,12/16,09/17,N/A,N/A,N/A,7.72,0
16,17,Pacifica Graduate Institute,2.99,Phd,Columbus,M,0,1,1,3,Speech-Language Pathologist,03/17,06/17,Speech-Language Pathologist,03/14,10/15,N/A,N/A,N/A,6.37,0
17,18,McMurry University,3.96,Bachelors,Miami,M,0,0,N/A,1,Industrial Designer,02/17,02/19,Industrial Designer,12/16,07/17,Pediatric Nurse,01/15,01/17,5.05,1
18,19,University of North Carolina at Charlotte,2.29,Masters,Denver,N/A,0,0,0,2,Investment Banker,05/20,08/21,Marketing Manager,03/20,07/20,N/A,N/A,N/A,6.81,0
19,20,Bastyr University,3.45,Phd,Sacramento,F,N/A,1,0,0,Event Planner,12/19,09/20,Project Manager,02/16,05/16,Paramedic,05/15,08/16,5.67,0
20,21,University of North Carolina at Asheville,2.38,Masters,Phoenix,M,1,0,N/A,2,Industrial Designer,03/16,08/16,Occupational Therapist,12/15,08/17,Data Scientist,09/15,02/17,6.84,1
21,22,Southern Utah University,2.68,Bachelors,Raleigh,F,1,0,N/A,2,Software Developer,10/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A,9.82,0
22,23,Lees-McRae College,2.62,Phd,Milwaukee,F,N/A,0,N/A,3,SEO Specialist,05/16,08/17,Social Media Coordinator,01/14,09/15,Content Writer,01/14,09/15,1.67,0
23,24,College of the Ozarks,3.89,Masters,Milwaukee,N/A,N/A,1,0,1,Fashion Designer,08/21,06/22,Fashion Designer,04/19,10/20,Real Estate Agent,08/14,08/16,1.71,0
24,25,Thomas Aquinas College,3.93,Phd,San Jose,M,N/A,0,1,3,Cybersecurity Analyst,06/15,09/15,Content Writer,06/14,04/15,N/A,N/A,N/A,8.78,0
25,26,St. Olaf College,2.37,Bachelors,Indianapolis,N/A,0,1,0,1,Pharmacist,12/18,09/20,N/A,N/A,N/A,N/A,N/A,N/A,8.78,0
26,27,Louisiana State University at Eunice,2.04,Phd,Minneapolis,M,N/A,1,N/A,3,Logistician,02/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A,6.04,1
27,28,Dakota Wesleyan University,3.44,Bachelors,Fresno,N/A,0,0,1,4,Graphic Designer,03/16,06/16,Occupational Therapist,07/15,08/16,Forensic Accountant,11/14,10/16,9.99,0
28,29,Rider University,2.84,Masters,Saint Paul,M,1,0,N/A,0,Event Planner,02/18,11/18,Veterinarian,11/17,01/19,N/A,N/A,N/A,0.44,1
29,30,Morningside College,2.18,Bachelors,Detroit,M,N/A,1,0,0,IT Consultant,05/21,03/23,Content Writer,11/18,09/19,N/A,N/A,N/A,0.52,0
30,31,Chaminade University of Honolulu,3.37,Masters,Las Vegas,M,N/A,1,1,0,Marine Biologist,12/15,05/17,IT Consultant,10/15,10/16,N/A,N/A,N/A,2.79,1
31,32,Princeton University,3.09,Masters,Detroit,F,0,1,1,4,Urban Planner,06/17,06/19,N/A,N/A,N/A,N/A,N/A,N/A,4.26,0
32,33,Elmhurst College,3.96,Bachelors,Scottsdale,F,0,1,0,4,Social Media Coordinator,06/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,4.87,0
33,34,Southwest Baptist University,2.45,Masters,Albuquerque,N/A,0,1,N/A,0,Telecommunications Specialist,02/17,08/18,Civil Engineer,02/17,12/18,Quality Assurance Manager,08/16,12/16,5.2,0
34,35,Alfred Adler Graduate School,2.81,Phd,Fort Worth,N/A,1,0,N/A,0,Quality Assurance Manager,01/14,12/15,Event Planner,01/14,10/14,Data Scientist,01/14,11/15,9.7,0
35,36,Carroll College Helena,3.09,Masters,Cincinnati,M,1,1,N/A,1,Financial Analyst,12/16,12/18,Graphic Designer,09/14,01/16,N/A,N/A,N/A,9.4,0
36,37,Lagrange College,3.58,Bachelors,Hialeah,M,N/A,0,0,1,Chemical Technician,05/14,08/15,Wind Turbine Technician,01/14,11/15,Graphic Designer,01/14,08/15,7.5,0
37,38,Marymount University,3.1,Phd,Anaheim,F,N/A,1,N/A,2,Paramedic,01/20,10/21,Sales Representative,02/17,10/17,N/A,N/A,N/A,4.1,0
38,39,University of Central Arkansas,3.23,Phd,Newark,F,0,0,1,3,Graphic Designer,11/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,4.96,1
39,40,Evangel University,2.45,Masters,Miami,F,1,1,N/A,1,Software Developer,10/15,01/17,Environmental Scientist,05/15,12/15,Web Developer,12/14,06/16,2.97,0
40,41,Ohio State University - Lima,3.69,Masters,Tokyo,N/A,N/A,0,N/A,1,Veterinarian,05/19,04/21,Marine Biologist,12/14,11/16,N/A,N/A,N/A,2.49,0
41,42,Fort Valley State College,2.86,Bachelors,Long Beach,F,0,0,1,1,Chemical Technician,11/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0
42,43,University of Pennsylvania,2.28,Phd,Baltimore,N/A,0,1,1,1,AI Researcher,06/18,05/19,Supply Chain Analyst,12/14,10/16,N/A,N/A,N/A,6.99,0
43,44,The Illinois Institute of Art-Chicago,3.33,Bachelors,Riverside,F,1,0,N/A,4,Quality Assurance Manager,08/19,08/20,Civil Engineer,03/15,07/15,Fashion Designer,01/14,10/14,8.59,0
44,45,Johns Hopkins University,2.43,Masters,Detroit,F,1,1,1,2,Investment Banker,08/18,05/19,Software Developer,02/15,09/15,N/A,N/A,N/A,8.01,0
45,46,Mount Vernon College,2.2,Phd,Long Beach,M,N/A,1,0,1,Veterinarian,09/15,06/17,N/A,N/A,N/A,N/A,N/A,N/A,5.49,0
46,47,Vassar College,3.72,Bachelors,Glendale,N/A,N/A,0,1,3,Quality Assurance Manager,12/17,04/19,High School Teacher,09/14,06/15,Paramedic,09/14,02/16,3.5,0
47,48,Brenau University,2.92,Bachelors,Milwaukee,F,0,0,0,1,Investment Banker,01/20,02/21,N/A,N/A,N/A,N/A,N/A,N/A,7.02,1
