Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Pacific Lutheran University,3.28,Phd,Denver,M,0,0,0,4,Marine Biologist,05/16,04/17,Cybersecurity Analyst,03/14,06/14,N/A,N/A,N/A
2,Temple University School of Podiatric Medicine,3.52,Phd,Garland,M,0,0,0,4,Marine Biologist,12/19,05/21,Real Estate Agent,11/14,04/16,N/A,N/A,N/A
3,Marywood University,3.45,Masters,Stockton,N/A,1,0,1,4,Industrial Designer,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A
4,Simon's Rock College,3.27,Phd,Los Angeles,F,N/A,0,1,4,Software Developer,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A
5,Pacific University,3.96,Phd,Indianapolis,M,0,0,1,1,Financial Analyst,07/20,01/22,Forensic Accountant,04/17,04/18,N/A,N/A,N/A
6,Oklahoma Christian University,3.81,Phd,New Orleans,N/A,1,1,0,0,Veterinarian,04/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A
7,University of South Carolina,3.29,Masters,Scottsdale,F,1,0,0,0,Pharmacist,04/20,12/21,IT Consultant,12/16,07/18,N/A,N/A,N/A
8,Northern Michigan University,3.39,Bachelors,North Las Vegas,M,0,0,0,2,Logistician,08/19,01/21,Supply Chain Analyst,12/18,08/19,Firefighter,08/16,04/18
9,University of Maryland at Baltimore,2.1,Bachelors,Lincoln,F,0,1,1,1,Occupational Therapist,06/17,01/19,Software Developer,10/15,12/15,Sales Representative,06/14,05/15
10,Barat College,3.34,Masters,Nashville,F,N/A,0,0,4,Mechanical Engineer,08/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A
11,Emmanuel College Georgia,2.09,Bachelors,San Diego,M,N/A,0,1,0,SEO Specialist,08/14,10/15,Financial Analyst,03/14,08/14,Firefighter,03/14,07/15
12,Rush University,3.18,Phd,Washington,M,0,0,1,3,Occupational Therapist,12/20,04/21,SEO Specialist,05/19,01/21,High School Teacher,11/17,01/18
13,College of New Rochelle,4.0,Bachelors,Winston–Salem,M,N/A,1,1,3,Graphic Designer,02/21,08/21,Mechanical Engineer,02/18,05/19,Environmental Scientist,06/14,02/15
14,The Art Institute of Boston,3.11,Phd,Stockton,F,1,0,0,3,Multimedia Artist,05/20,04/21,Project Manager,06/17,06/18,Biomedical Engineer,12/15,01/17
15,Atlantic International University,2.95,Bachelors,Wichita,F,N/A,1,0,4,Firefighter,12/16,09/17,Speech-Language Pathologist,11/16,07/17,N/A,N/A,N/A
16,St. Bernard's Institute,2.63,Masters,Philadelphia,N/A,N/A,1,0,4,Social Media Coordinator,03/14,10/15,Industrial Designer,01/14,12/15,N/A,N/A,N/A
17,Pacifica Graduate Institute,2.24,Bachelors,Greensboro,F,1,0,1,2,Industrial Designer,03/17,09/18,N/A,N/A,N/A,N/A,N/A,N/A
18,McMurry University,3.46,Bachelors,Hialeah,M,N/A,1,0,2,Pediatric Nurse,01/15,01/17,Investment Banker,10/14,12/15,Marketing Manager,08/14,11/14
19,University of North Carolina at Charlotte,2.39,Bachelors,Virginia Beach,F,1,0,0,2,Event Planner,12/19,09/20,Project Manager,02/16,05/16,Paramedic,05/15,08/16
20,Bastyr University,2.23,Masters,Honolulu,N/A,N/A,0,1,3,Industrial Designer,03/16,08/16,Occupational Therapist,12/15,08/17,Data Scientist,09/15,02/17
21,University of North Carolina at Asheville,2.84,Bachelors,Lincoln,N/A,0,0,1,4,Software Developer,10/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A
22,Southern Utah University,3.59,Masters,Las Vegas,M,N/A,0,0,3,SEO Specialist,05/16,08/17,Social Media Coordinator,01/14,09/15,N/A,N/A,N/A
23,Lees-McRae College,3.49,Phd,Charlotte,M,0,0,1,2,Content Writer,05/16,03/17,Fashion Designer,01/16,07/17,Real Estate Agent,08/14,08/16
24,College of the Ozarks,2.11,Bachelors,Wichita,N/A,0,1,0,4,Cybersecurity Analyst,06/15,09/15,Content Writer,06/14,04/15,N/A,N/A,N/A
