applicant_id,score
"1","5.5"
"2","6.95"
"3","5.36"
"4","8.57"
"5","6.2"
"6","7.6"
"7","2.02"
"8","3.05"
"9","5.42"
"10","7.63"
"11","4.33"
"12","4.85"
"13","7.05"
"14","1.76"
"15","5.52"
"16","5.04"
"17","1.73"
"18","5.11"
"19","1.12"
"20","5.07"
"21","4.15"
"22","4.23"
"23","4.75"
"24","9.24"
"25","9.15"
"26","1.36"
"27","1.35"
"28","1.15"
"29","6.68"
"30","5.31"
"31","0.36"
"32","0.07"
"33","5.27"
"34","2.8"
"35","2.34"
"36","2.46"
"37","2.89"
"38","7.82"
"39","8.33"
"40","0.92"
"41","6.85"
"42","6.98"
"43","1.22"
"44","7.43"
"45","5.01"
"46","9.75"
"47","6.63"
"48","1.92"
"49","0.82"
"50","2.4"
"51","3.66"
"52","7.99"
"53","9.42"
"54","8.1"
"55","4.84"
"56","9.39"
"57","6.17"
"58","1.59"
"59","7.36"
"60","7.18"
"61","3.49"
"62","2.03"
"63","8.29"
"64","0.5"
"65","7.43"
"66","2.41"
"67","0.69"
"68","1.15"
"69","0.92"
"70","6.4"
"71","0.08"
"72","1.29"
"73","9.4"
"74","5.13"
"75","4.33"
"76","7.37"
"77","9.38"
"78","7.46"
"79","7.31"
"80","3.61"
"81","9.17"
"82","2.05"
"83","8.62"
"84","2.28"
"85","1.24"
"86","3.6"
"87","2.04"
"88","8.14"
"89","7.73"
"90","3.17"
"91","0.13"
"92","7.0"
"93","6.19"
"94","4.39"
"95","2.26"
"96","5.15"
"97","8.13"
"98","7.78"
"99","4.2"
"100","2.64"
"101","0.95"
"102","8.87"
"103","0.78"
"104","4.64"
"105","9.29"
"106","0.28"
"107","2.72"
"108","5.06"
"109","3.02"
"110","0.93"
"111","2.52"
"112","7.9"
"113","9.92"
"114","5.73"
"115","2.31"
"116","2.39"
"117","4.72"
"118","1.35"
"119","0.14"
"120","3.81"
"121","6.77"
"122","8.78"
"123","3.09"
"124","9.28"
"125","0.98"
"126","6.04"
"127","6.71"
"128","1.01"
"129","9.4"
"130","3.18"
"131","7.72"
"132","1.1"
"133","5.48"
"134","5.51"
"135","0.41"
"136","6.42"
"137","0.25"
"138","6.85"
"139","4.46"
"140","4.96"
"141","4.49"
"142","1.73"
"143","7.1"
"144","0.98"
"145","4.9"
"146","4.44"
"147","3.98"
"148","7.9"
"149","2.93"
"150","4.05"
"151","6.52"
"152","1.62"
"153","3.53"
"154","0.37"
"155","2.86"
"156","5.81"
"157","7.27"
"158","0.03"
"159","7.9"
"160","2.54"
"161","4.6"
"162","1.06"
"163","3.88"
"164","3.16"
"165","2.8"
"166","2.2"
"167","6.04"
"168","6.01"
"169","8.79"
"170","8.17"
"171","9.04"
"172","8.01"
"173","3.37"
"174","9.98"
"175","9.08"
"176","6.0"
"177","7.95"
"178","3.41"
"179","6.98"
"180","8.14"
"181","2.51"
"182","6.01"
"183","1.97"
"184","6.88"
"185","7.74"
"186","7.32"
"187","6.87"
"188","6.55"
"189","0.54"
"190","9.58"
"191","2.17"
"192","4.73"
"193","4.31"
"194","3.84"
"195","9.31"
"196","3.87"
"197","5.46"
"198","8.86"
"199","8.08"
"200","1.8"
"201","9.76"
"202","2.97"
"203","7.01"
"204","1.71"
"205","6.06"
"206","0.03"
"207","0.46"
"208","1.29"
"209","6.35"
"210","4.29"
"211","4.6"
"212","8.74"
"213","3.66"
"214","9.82"
"215","2.66"
"216","1.95"
"217","9.99"
"218","4.63"
"219","8.04"
"220","1.51"
"221","0.94"
"222","6.92"
"223","5.3"
"224","0.16"
"225","9.55"
"226","6.22"
"227","8.1"
"228","8.52"
"229","2.72"
"230","4.88"
"231","1.01"
"232","2.52"
"233","6.07"
"234","5.27"
"235","4.41"
"236","5.74"
"237","6.7"
"238","9.32"
"239","3.82"
"240","7.88"
"241","9.55"
"242","2.54"
"243","2.63"
"244","1.84"
"245","5.52"
"246","3.03"
"247","2.98"
"248","6.71"
"249","2.36"
"250","3.44"
"251","3.3"
"252","1.11"
"253","9.06"
"254","1.42"
"255","7.63"
"256","7.64"
"257","7.12"
"258","4.03"
"259","8.52"
"260","0.6"
"261","0.86"
"262","6.81"
"263","0.37"
"264","2.57"
"265","4.6"
"266","9.21"
"267","1.3"
"268","8.1"
"269","4.65"
"270","0.79"
"271","6.2"
"272","4.67"
"273","3.56"
"274","5.13"
"275","0.38"
"276","3.31"
"277","3.31"
"278","5.95"
"279","5.86"
"280","2.34"
"281","3.98"
"282","4.06"
"283","7.79"
"284","6.18"
"285","6.13"
"286","4.62"
"287","2.34"
"288","8.62"
"289","9.01"
"290","9.78"
"291","8.69"
"292","6.08"
"293","0.86"
"294","4.12"
"295","9.86"
"296","0.62"
"297","3.4"
"298","8.25"
"299","1.97"
"300","8.72"
"301","0.93"
"302","2.14"
"303","5.85"
"304","8.5"
"305","1.09"
"306","7.14"
"307","3.3"
"308","4.79"
"309","1.79"
"310","5.56"
"311","3.56"
"312","1.93"
"313","1.39"
"314","7.51"
"315","3.06"
"316","0.85"
"317","2.51"
"318","9.7"
"319","9.33"
"320","5.53"
"321","4.72"
"322","2.61"
"323","7.39"
"324","2.12"
"325","4.01"
"326","1.71"
"327","4.41"
"328","1.09"
"329","8.41"
"330","1.83"
"331","2.99"
"332","3.46"
"333","1.4"
"334","7.26"
"335","4.09"
"336","3.27"
"337","1.64"
"338","5.83"
"339","2.03"
"340","7.92"
"341","2.26"
"342","3.72"
"343","6.78"
"344","6.67"
"345","1.44"
"346","1.43"
"347","9.34"
"348","3.68"
"349","0.79"
"350","3.63"
"351","3.1"
"352","9.29"
"353","0.72"
"354","6.23"
"355","6.95"
"356","5.56"
"357","1.83"
"358","4.06"
"359","2.04"
"360","9.1"
"361","4.34"
"362","3.05"
"363","0.38"
"364","4.18"
"365","2.6"
"366","8.87"
"367","0.88"
"368","7.03"
"369","2.89"
"370","7.91"
"371","5.43"
"372","7.15"
"373","3.11"
"374","4.49"
"375","3.55"
"376","1.28"
"377","4.01"
"378","4.86"
"379","0.47"
"380","8.39"
"381","7.6"
"382","7.85"
"383","4.31"
"384","1.02"
"385","5.38"
"386","8.58"
"387","0.04"
"388","0.42"
"389","9.35"
"390","1.46"
"391","6.94"
"392","2.08"
"393","8.57"
"394","3.2"
"395","6.18"
"396","6.82"
"397","0.78"
"398","4.93"
"399","9.18"
"400","6.71"
"401","0.67"
"402","0.16"
"403","2.75"
"404","8.27"
"405","7.84"
"406","7.08"
"407","0.54"
"408","6.8"
"409","6.02"
"410","7.56"
"411","5.53"
"412","3.8"
"413","0.48"
"414","1.3"
"415","5.73"
"416","1.58"
"417","5.63"
"418","6.96"
"419","4.07"
"420","9.18"
"421","8.15"
"422","7.26"
"423","3.5"
"424","8.34"
"425","6.26"
"426","4.53"
"427","2.86"
"428","6.15"
"429","6.44"
"430","9.04"
"431","1.42"
"432","3.11"
"433","2.5"
"434","5.82"
"435","5.85"
"436","8.6"
"437","9.16"
"438","1.44"
"439","3.17"
"440","8.25"
"441","8.25"
"442","8.32"
"443","8.27"
"444","8.24"
"445","3.37"
"446","7.16"
"447","4.57"
"448","0.65"
"449","8.62"
"450","2.49"
"451","4.45"
"452","3.05"
"453","0.3"
"454","3.03"
"455","5.64"
"456","4.04"
"457","3.11"
"458","8.55"
"459","4.93"
"460","8.04"
"461","2.78"
"462","2.78"
"463","5.87"
"464","8.3"
"465","7.24"
"466","2.89"
"467","6.63"
"468","3.79"
"469","9.16"
"470","4.6"
"471","2.98"
"472","9.76"
"473","6.98"
"474","1.15"
"475","0.26"
"476","6.14"
"477","8.17"
"478","0.12"
"479","0.39"
"480","3.41"
"481","6.98"
"482","0.87"
"483","1.48"
"484","1.11"
"485","8.97"
"486","3.46"
"487","9.89"
"488","6.22"
"489","3.65"
"490","0.92"
"491","3.45"
"492","0.07"
"493","8.21"
"494","2.21"
"495","0.54"
"496","5.89"
"497","1.59"
"498","7.32"
"499","8.83"
"500","4.67"
"501","7.19"
"502","8.46"
"503","1.38"
"504","0.79"
"505","3.64"
"506","5.35"
"507","8.71"
"508","0.55"
"509","5.87"
"510","2.03"
"511","5.0"
"512","6.75"
"513","6.35"
"514","2.59"
"515","0.96"
"516","2.43"
"517","9.99"
"518","8.65"
"519","8.61"
"520","5.52"
"521","5.6"
"522","4.36"
"523","0.11"
"524","3.95"
"525","3.12"
"526","2.69"
"527","6.4"
"528","7.13"
"529","5.27"
"530","3.3"
"531","0.6"
"532","9.96"
"533","4.9"
"534","8.87"
"535","5.68"
"536","0.79"
"537","9.24"
"538","3.14"
"539","4.35"
"540","6.44"
"541","8.56"
"542","7.45"
"543","7.69"
"544","8.97"
"545","6.5"
"546","9.89"
"547","6.24"
"548","6.83"
"549","9.61"
"550","4.13"
"551","6.5"
"552","8.16"
"553","9.6"
"554","5.76"
"555","4.42"
"556","5.9"
"557","7.6"
"558","4.73"
"559","2.09"
"560","6.22"
"561","0.11"
"562","6.88"
"563","9.25"
"564","0.47"
"565","9.85"
"566","4.37"
"567","6.25"
"568","4.98"
"569","6.98"
"570","5.29"
"571","8.33"
"572","0.06"
"573","6.89"
"574","2.92"
"575","9.63"
"576","5.64"
"577","3.62"
"578","1.18"
"579","7.16"
"580","8.12"
"581","9.9"
"582","7.27"
"583","5.48"
"584","2.74"
"585","8.83"
"586","9.88"
"587","6.64"
"588","4.67"
"589","6.29"
"590","5.28"
"591","7.13"
"592","2.98"
"593","1.91"
"594","5.07"
"595","2.53"
"596","0.45"
"597","3.85"
"598","7.08"
"599","6.62"
"600","0.96"
"601","4.47"
"602","3.56"
"603","9.3"
"604","2.86"
"605","5.89"
"606","6.56"
"607","6.34"
"608","0.1"
"609","5.05"
"610","9.56"
"611","6.79"
"612","4.73"
"613","5.54"
"614","8.72"
"615","2.72"
"616","0.7"
"617","2.0"
"618","8.86"
"619","0.21"
"620","9.31"
"621","3.87"
"622","9.09"
"623","7.24"
"624","4.09"
"625","7.87"
"626","3.63"
"627","6.62"
"628","6.45"
"629","0.95"
"630","5.01"
"631","2.66"
"632","7.72"
"633","8.61"
"634","1.58"
"635","8.27"
"636","8.2"
"637","6.87"
"638","7.94"
"639","8.51"
"640","9.62"
"641","8.81"
"642","1.29"
"643","1.77"
"644","6.0"
"645","1.42"
"646","8.61"
"647","2.13"
"648","4.74"
"649","9.03"
"650","2.88"
"651","6.79"
"652","5.44"
"653","4.58"
"654","1.99"
"655","1.02"
"656","6.57"
"657","3.39"
"658","1.32"
"659","0.67"
"660","5.67"
"661","6.43"
"662","8.47"
"663","6.03"
"664","7.59"
"665","6.38"
"666","0.55"
"667","7.06"
"668","8.32"
"669","4.32"
"670","4.18"
"671","1.7"
"672","6.16"
"673","3.44"
"674","6.43"
"675","2.98"
"676","7.01"
"677","1.94"
"678","4.08"
"679","1.49"
"680","2.0"
"681","5.33"
"682","9.34"
"683","6.83"
"684","0.7"
"685","5.48"
"686","8.02"
"687","7.5"
"688","7.08"
"689","9.0"
"690","8.38"
"691","3.01"
"692","0.98"
"693","8.54"
"694","9.07"
"695","4.44"
"696","1.47"
"697","1.73"
"698","2.65"
"699","2.52"
"700","6.57"
"701","0.04"
"702","0.68"
"703","8.22"
"704","0.13"
"705","7.86"
"706","9.97"
"707","9.39"
"708","0.41"
"709","0.8"
"710","4.65"
"711","3.89"
"712","1.3"
"713","6.85"
"714","3.15"
"715","5.0"
"716","3.04"
"717","9.14"
"718","7.41"
"719","8.41"
"720","2.73"
"721","4.09"
"722","5.21"
"723","9.52"
"724","2.6"
"725","8.64"
"726","4.79"
"727","0.55"
"728","4.53"
"729","9.45"
"730","3.71"
"731","7.22"
"732","5.86"
"733","3.89"
"734","4.96"
"735","6.69"
"736","4.9"
"737","9.81"
"738","2.86"
"739","1.29"
"740","1.93"
"741","2.87"
"742","5.77"
"743","8.54"
"744","2.48"
"745","4.2"
"746","3.27"
"747","2.23"
"748","4.66"
"749","0.8"
"750","5.86"
"751","0.04"
"752","9.08"
"753","8.51"
"754","3.14"
"755","0.44"
"756","3.3"
"757","1.15"
"758","3.14"
"759","8.05"
"760","6.03"
"761","0.73"
"762","2.73"
"763","1.11"
"764","4.18"
"765","8.47"
"766","6.17"
"767","3.37"
"768","2.33"
"769","8.43"
"770","6.51"
"771","9.12"
"772","5.69"
"773","1.84"
"774","8.95"
"775","2.05"
"776","6.92"
"777","8.95"
"778","9.18"
"779","6.98"
"780","5.41"
"781","9.85"
"782","8.28"
"783","2.25"
"784","0.07"
"785","5.41"
"786","6.15"
"787","4.33"
"788","5.26"
"789","0.66"
"790","2.95"
"791","1.15"
"792","9.29"
"793","7.81"
"794","6.18"
"795","1.2"
"796","1.17"
"797","7.96"
"798","7.94"
"799","8.21"
"800","7.03"
"801","0.72"
"802","2.45"
"803","4.11"
"804","7.27"
"805","2.03"
"806","6.45"
"807","6.55"
"808","9.22"
"809","5.22"
"810","9.94"
"811","9.64"
"812","6.4"
"813","6.23"
"814","4.25"
"815","4.52"
"816","2.03"
"817","1.23"
"818","4.37"
"819","5.97"
"820","2.7"
"821","3.12"
"822","3.13"
"823","5.43"
"824","4.84"
"825","5.66"
"826","6.56"
"827","1.43"
"828","6.93"
"829","7.99"
"830","6.31"
"831","8.49"
"832","1.55"
"833","9.25"
"834","9.69"
"835","1.91"
"836","3.22"
"837","2.44"
"838","9.91"
"839","8.28"
"840","4.26"
"841","9.63"
"842","7.4"
"843","2.67"
"844","6.15"
"845","3.93"
"846","7.41"
"847","5.38"
"848","5.78"
"849","4.48"
"850","3.56"
"851","8.67"
"852","6.33"
"853","5.43"
"854","0.32"
"855","8.33"
"856","8.82"
"857","0.94"
"858","2.6"
"859","2.32"
"860","4.22"
"861","5.04"
"862","2.54"
"863","7.67"
"864","1.18"
"865","6.83"
"866","7.97"
"867","9.26"
"868","3.44"
"869","2.43"
"870","9.73"
"871","2.4"
"872","4.63"
"873","9.44"
"874","8.27"
"875","6.8"
"876","8.57"
"877","1.84"
"878","0.89"
"879","2.36"
"880","9.05"
"881","8.83"
"882","1.89"
"883","3.73"
"884","5.07"
"885","4.98"
"886","5.11"
"887","3.38"
"888","9.82"
"889","9.83"
"890","5.05"
"891","2.55"
"892","3.31"
"893","8.04"
"894","6.27"
"895","7.79"
"896","9.66"
"897","1.3"
"898","8.54"
"899","7.73"
"900","5.14"
"901","9.28"
"902","6.92"
"903","5.2"
"904","8.27"
"905","0.94"
"906","4.59"
"907","8.72"
"908","2.75"
"909","7.86"
"910","7.69"
"911","8.47"
"912","9.07"
"913","8.75"
"914","0.12"
"915","4.28"
"916","0.66"
"917","7.01"
"918","0.19"
"919","6.04"
"920","5.15"
"921","4.6"
"922","5.57"
"923","3.01"
"924","6.3"
"925","3.4"
"926","1.79"
"927","3.49"
"928","8.3"
"929","7.8"
"930","7.52"
"931","7.57"
"932","0.23"
"933","5.16"
"934","4.73"
"935","8.68"
"936","2.74"
"937","4.12"
"938","9.39"
"939","8.47"
"940","3.81"
