Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Pacific Lutheran University,3.28,Phd,Denver,M,0,0,0,4,Human Resources Specialist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A
2,Temple University School of Podiatric Medicine,3.52,Phd,Garland,M,0,0,0,4,Accountant,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A
3,Marywood University,3.45,Masters,Stockton,N/A,1,0,1,4,Firefighter,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A
4,Simon's Rock College,3.27,Phd,Los Angeles,F,N/A,0,1,4,Financial Analyst,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A
5,Pacific University,3.96,Phd,Indianapolis,M,0,0,1,1,Public Relations Officer,07/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A
6,Oklahoma Christian University,3.81,Phd,New Orleans,N/A,1,1,0,0,Public Relations Officer,04/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A
7,University of South Carolina,3.29,Masters,Scottsdale,F,1,0,0,0,Firefighter,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A
8,Northern Michigan University,3.39,Bachelors,North Las Vegas,M,0,0,0,2,Dietitian,08/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A
9,University of Maryland at Baltimore,2.1,Bachelors,Lincoln,F,0,1,1,1,Product Designer,06/17,01/19,N/A,N/A,N/A,N/A,N/A,N/A
10,Barat College,3.34,Masters,Nashville,F,N/A,0,0,4,Product Manager,08/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A
11,Emmanuel College Georgia,2.09,Bachelors,San Diego,M,N/A,0,1,0,Researcher,08/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A
12,Rush University,3.18,Phd,Washington,M,0,0,1,3,Pilot,12/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A
13,College of New Rochelle,4.0,Bachelors,Winston–Salem,M,N/A,1,1,3,Investment Banker,02/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A
14,The Art Institute of Boston,3.11,Phd,Stockton,F,1,0,0,3,Multimedia Artist,05/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A
15,Atlantic International University,2.95,Bachelors,Wichita,F,N/A,1,0,4,Product Designer,12/16,09/17,N/A,N/A,N/A,N/A,N/A,N/A
16,St. Bernard's Institute,2.63,Masters,Philadelphia,N/A,N/A,1,0,4,Pharmacist,03/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A
17,Pacifica Graduate Institute,2.24,Bachelors,Greensboro,F,1,0,1,2,Accountant,03/17,09/18,N/A,N/A,N/A,N/A,N/A,N/A
18,McMurry University,3.46,Bachelors,Hialeah,M,N/A,1,0,2,Public Relations Officer,01/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A
19,University of North Carolina at Charlotte,2.39,Bachelors,Virginia Beach,F,1,0,0,2,Product Manager,12/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A
20,Bastyr University,2.23,Masters,Honolulu,N/A,N/A,0,1,3,Dietitian,03/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A
21,University of North Carolina at Asheville,2.84,Bachelors,Lincoln,N/A,0,0,1,4,Pilot,10/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A
22,Southern Utah University,3.59,Masters,Las Vegas,M,N/A,0,0,3,Pharmacist,05/16,08/17,N/A,N/A,N/A,N/A,N/A,N/A
23,Lees-McRae College,3.49,Phd,Charlotte,M,0,0,1,2,Sales Representative,05/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A
24,College of the Ozarks,2.11,Bachelors,Wichita,N/A,0,1,0,4,Public Relations Officer,06/15,09/15,N/A,N/A,N/A,N/A,N/A,N/A
25,Thomas Aquinas College,2.91,Masters,Lubbock,N/A,0,1,1,1,Investment Banker,12/18,09/20,N/A,N/A,N/A,N/A,N/A,N/A
26,St. Olaf College,3.04,Masters,Chula Vista,N/A,0,1,1,0,Social Media Coordinator,02/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A
27,Louisiana State University at Eunice,3.29,Bachelors,Corpus Christi,M,0,1,0,0,Pharmacist,09/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A
28,Dakota Wesleyan University,3.3,Phd,Irving,N/A,1,0,1,2,Multimedia Artist,11/18,09/19,N/A,N/A,N/A,N/A,N/A,N/A
29,Rider University,2.73,Masters,St. Petersburg,N/A,1,0,1,3,Software Engineer,10/15,10/16,N/A,N/A,N/A,N/A,N/A,N/A
30,Morningside College,3.12,Bachelors,Baton Rouge,M,1,1,1,1,Product Designer,10/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A
31,Chaminade University of Honolulu,2.96,Phd,Honolulu,F,0,0,0,4,Product Manager,06/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A
32,Princeton University,3.77,Masters,Wichita,F,N/A,1,1,3,Pilot,02/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A
33,Elmhurst College,3.06,Masters,El Paso,N/A,1,1,1,2,Human Resources Specialist,06/18,05/20,N/A,N/A,N/A,N/A,N/A,N/A
34,Southwest Baptist University,2.88,Phd,San Bernardino,F,N/A,1,0,3,Accountant,11/15,05/16,N/A,N/A,N/A,N/A,N/A,N/A
35,Alfred Adler Graduate School,2.81,Phd,Oklahoma City,F,N/A,1,0,2,Software Engineer,10/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A
36,Carroll College Helena,3.14,Bachelors,El Paso,F,0,0,1,0,Multimedia Artist,12/16,12/18,N/A,N/A,N/A,N/A,N/A,N/A
37,Lagrange College,3.61,Bachelors,Chula Vista,F,0,0,1,0,Pilot,12/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A
38,Marymount University,3.08,Masters,Houston,N/A,0,1,1,3,Researcher,07/14,03/15,N/A,N/A,N/A,N/A,N/A,N/A
39,University of Central Arkansas,3.32,Phd,Henderson,F,1,1,0,1,Firefighter,04/19,11/20,N/A,N/A,N/A,N/A,N/A,N/A
40,Evangel University,3.48,Phd,Durham,F,0,1,1,4,Social Media Coordinator,11/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A
41,Ohio State University - Lima,3.04,Phd,Glendale,M,1,1,0,2,Product Manager,10/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A
42,Fort Valley State College,2.85,Masters,Winston–Salem,N/A,1,1,0,4,Researcher,12/21,06/23,N/A,N/A,N/A,N/A,N/A,N/A
43,University of Pennsylvania,3.75,Phd,Montreal,M,1,0,1,0,Product Manager,05/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A
44,The Illinois Institute of Art-Chicago,2.84,Phd,Charlotte,M,1,1,1,1,Product Manager,11/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A
45,Johns Hopkins University,2.92,Masters,Tucson,N/A,0,1,0,1,Data Scientist,07/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A
46,Mount Vernon College,3.98,Bachelors,Milwaukee,F,1,0,1,4,Firefighter,08/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A
47,Vassar College,2.0,Bachelors,Bakersfield,M,0,0,1,0,Firefighter,08/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A
48,Brenau University,2.37,Masters,Chula Vista,N/A,0,0,0,4,Product Designer,02/15,09/15,N/A,N/A,N/A,N/A,N/A,N/A
49,Morris College,2.77,Phd,Atlanta,F,1,0,1,3,Multimedia Artist,12/17,04/19,N/A,N/A,N/A,N/A,N/A,N/A
50,ITT Technical Institute Portland,3.87,Masters,Tucson,N/A,0,0,0,1,Data Analyst,09/14,06/15,N/A,N/A,N/A,N/A,N/A,N/A
51,Morris College,2.14,Bachelors,Jacksonville,M,N/A,0,1,1,Pilot,11/21,06/22,N/A,N/A,N/A,N/A,N/A,N/A
52,Goshen College,2.02,Bachelors,San Antonio,F,0,0,0,3,Investment Banker,03/16,10/17,N/A,N/A,N/A,N/A,N/A,N/A
53,Widener University,2.11,Masters,Lexington,F,0,0,0,0,Business Analyst,03/17,11/17,N/A,N/A,N/A,N/A,N/A,N/A
54,University of Charleston South Carolina,2.18,Masters,Kansas City,N/A,1,0,1,1,Investment Banker,10/15,01/16,N/A,N/A,N/A,N/A,N/A,N/A
55,Schiller International University,2.08,Bachelors,Detroit,F,1,1,0,2,Sales Representative,03/20,05/21,N/A,N/A,N/A,N/A,N/A,N/A
56,Manchester College,2.96,Masters,Riverside,M,0,0,0,2,Pharmacist,09/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A
57,Towson University,3.16,Bachelors,San Bernardino,M,1,1,1,0,Dietitian,08/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A
58,Pennsylvania State University - Milton S.Hershey Medical Center,2.54,Masters,Indianapolis,M,N/A,1,1,3,Sales Representative,03/16,03/18,N/A,N/A,N/A,N/A,N/A,N/A
59,The School of the Art Institute of Chicago,2.8,Masters,San Diego,N/A,N/A,1,1,4,Dietitian,01/14,09/14,N/A,N/A,N/A,N/A,N/A,N/A
60,Wayne State College,2.18,Masters,Charlotte,F,1,1,0,0,Sales Representative,01/20,07/21,N/A,N/A,N/A,N/A,N/A,N/A
61,Illinois College,2.67,Bachelors,Fort Wayne,F,0,1,0,4,Sales Representative,01/21,06/21,N/A,N/A,N/A,N/A,N/A,N/A
62,Alderson Broaddus College,3.05,Masters,Los Angeles,F,N/A,1,0,0,Researcher,12/15,05/16,N/A,N/A,N/A,N/A,N/A,N/A
63,Marian College of Fond Du Lac,3.46,Bachelors,Richmond,M,N/A,1,1,2,Data Analyst,05/14,07/14,N/A,N/A,N/A,N/A,N/A,N/A
64,Blackburn College,2.01,Bachelors,St. Louis,F,0,1,0,3,Sales Representative,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A
65,Sinte Gleska University,2.93,Masters,Chula Vista,M,1,0,0,2,Pilot,06/14,12/15,N/A,N/A,N/A,N/A,N/A,N/A
66,Dallas Christian College,2.59,Masters,Omaha,F,N/A,1,1,3,Software Engineer,02/18,09/19,N/A,N/A,N/A,N/A,N/A,N/A
67,Hartford College for Women,3.71,Bachelors,Orlando,M,0,1,0,4,Firefighter,01/19,04/20,N/A,N/A,N/A,N/A,N/A,N/A
68,Coker College,3.43,Bachelors,Honolulu,F,0,1,1,0,Human Resources Specialist,11/21,06/23,N/A,N/A,N/A,N/A,N/A,N/A
69,Albany Law School,3.18,Phd,Laredo,N/A,N/A,1,1,1,Dietitian,02/14,04/14,N/A,N/A,N/A,N/A,N/A,N/A
70,Campbell University,2.55,Bachelors,Las Vegas,N/A,1,0,1,1,Sales Representative,02/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A
71,Letourneau University,3.82,Phd,Columbus,M,N/A,1,0,3,Sales Representative,01/17,03/18,N/A,N/A,N/A,N/A,N/A,N/A
72,State University of New York at New Paltz,2.09,Phd,Laredo,M,0,0,0,3,Social Media Coordinator,07/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A
73,Governors State University,2.22,Phd,Reno,F,N/A,0,0,2,Sales Representative,10/20,08/22,N/A,N/A,N/A,N/A,N/A,N/A
74,Miami University of Ohio,2.78,Masters,Aurora,F,1,1,1,1,Financial Analyst,04/20,08/20,N/A,N/A,N/A,N/A,N/A,N/A
75,Stanford University,2.25,Masters,Las Vegas,N/A,0,1,1,2,Public Relations Officer,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A
76,Auburn University at Montgomery,3.91,Bachelors,Raleigh,F,1,0,1,4,Machine Learning Engineer,04/14,02/16,N/A,N/A,N/A,N/A,N/A,N/A
77,State University of New York Maritime College,3.6,Phd,Chicago,M,N/A,1,0,1,Financial Analyst,01/16,06/17,N/A,N/A,N/A,N/A,N/A,N/A
78,Morningside College,2.52,Masters,Glendale,M,N/A,1,0,4,Product Manager,10/21,03/22,N/A,N/A,N/A,N/A,N/A,N/A
79,Texas Tech University Health Science Center,3.18,Masters,Long Beach,M,1,0,0,0,Accountant,05/15,02/16,N/A,N/A,N/A,N/A,N/A,N/A
80,Swarthmore College,3.96,Masters,Oakland,M,N/A,0,0,2,Human Resources Specialist,04/17,09/18,N/A,N/A,N/A,N/A,N/A,N/A
81,Fort Hays State University,3.77,Masters,Jacksonville,M,1,1,0,3,Sales Representative,10/21,08/22,N/A,N/A,N/A,N/A,N/A,N/A
82,Lesley University,3.2,Masters,New Orleans,N/A,N/A,1,1,1,Firefighter,06/14,05/16,N/A,N/A,N/A,N/A,N/A,N/A
83,University of Silesia,3.81,Phd,Bakersfield,N/A,1,1,0,2,Pilot,11/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A
84,American Conservatory Theater,3.98,Phd,Aurora,M,1,0,1,3,Product Designer,11/18,06/20,N/A,N/A,N/A,N/A,N/A,N/A
85,Bryant and Stratton College,3.49,Phd,Gilbert,F,0,1,1,0,Public Relations Officer,09/21,10/22,N/A,N/A,N/A,N/A,N/A,N/A
86,Olive-Harvey College,2.13,Phd,Baton Rouge,M,0,0,0,1,Accountant,12/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A
87,Universidad de Cuautitlan Izcalli,2.8,Bachelors,Baton Rouge,N/A,1,0,1,4,Data Analyst,08/16,12/17,N/A,N/A,N/A,N/A,N/A,N/A
