applicant_id,score
"1","7.66"
"2","6.76"
"3","8.55"
"4","4.71"
"5","2.83"
"6","5.63"
"7","8.06"
"8","5.8"
"9","6.2"
"10","0.18"
"11","2.25"
"12","8.37"
"13","7.07"
"14","9.17"
"15","2.06"
"16","1.95"
"17","1.08"
"18","8.14"
"19","0.36"
"20","7.37"
"21","4.19"
"22","8.15"
"23","6.06"
"24","2.75"
"25","5.95"
"26","6.02"
"27","5.45"
"28","6.62"
"29","8.0"
"30","2.95"
"31","1.76"
"32","4.3"
"33","5.9"
"34","9.27"
"35","1.28"
"36","2.52"
"37","8.89"
"38","7.78"
"39","8.98"
"40","4.83"
"41","7.16"
"42","7.91"
"43","0.8"
"44","9.56"
"45","9.7"
"46","3.32"
"47","7.16"
"48","6.64"
"49","6.23"
"50","6.51"
"51","1.97"
"52","1.19"
"53","9.42"
"54","9.29"
"55","5.69"
"56","7.73"
"57","9.25"
"58","4.0"
"59","3.4"
"60","1.9"
"61","1.34"
"62","9.75"
"63","6.32"
"64","8.71"
"65","7.1"
"66","1.88"
"67","9.36"
"68","7.18"
"69","3.0"
"70","4.08"
"71","3.44"
"72","3.91"
"73","6.17"
"74","7.31"
"75","9.61"
"76","10.0"
"77","6.88"
"78","1.09"
"79","6.49"
"80","4.02"
"81","3.65"
"82","8.51"
"83","5.15"
"84","3.11"
"85","1.58"
"86","8.77"
"87","3.51"
"88","5.0"
"89","1.07"
"90","6.21"
"91","6.52"
"92","3.99"
"93","6.39"
"94","0.01"
"95","8.19"
"96","4.73"
"97","3.59"
"98","9.39"
"99","2.69"
"100","8.65"
"101","5.48"
"102","2.24"
"103","6.95"
"104","9.5"
"105","2.21"
"106","8.23"
"107","2.54"
"108","3.56"
"109","5.29"
"110","3.02"
"111","8.04"
"112","0.18"
"113","6.05"
"114","2.21"
"115","9.21"
"116","7.4"
"117","0.01"
"118","1.76"
"119","6.68"
"120","2.03"
"121","6.48"
"122","7.87"
"123","6.93"
"124","2.41"
"125","8.83"
"126","4.65"
"127","4.66"
"128","1.56"
"129","3.11"
"130","3.45"
"131","4.53"
"132","0.87"
"133","7.41"
"134","1.32"
"135","8.15"
"136","8.18"
"137","0.07"
"138","6.77"
"139","8.32"
"140","0.99"
"141","3.95"
"142","1.59"
"143","0.05"
"144","7.21"
"145","6.34"
"146","6.84"
"147","3.15"
"148","9.89"
"149","5.8"
"150","7.43"
"151","8.84"
"152","6.58"
"153","3.47"
"154","8.07"
"155","4.44"
"156","7.38"
"157","0.08"
"158","5.25"
"159","3.68"
"160","8.7"
"161","8.84"
"162","0.15"
"163","1.38"
"164","5.63"
"165","0.89"
"166","8.31"
"167","0.58"
"168","9.76"
"169","4.58"
"170","8.95"
"171","3.13"
"172","9.02"
"173","6.78"
"174","2.62"
"175","7.82"
"176","5.33"
"177","1.79"
"178","9.59"
"179","1.14"
"180","7.33"
"181","7.42"
"182","4.51"
"183","0.12"
"184","0.87"
"185","6.98"
"186","9.17"
"187","9.56"
"188","9.97"
"189","0.25"
"190","2.11"
"191","2.1"
"192","2.48"
"193","9.16"
"194","0.23"
"195","9.3"
"196","0.34"
"197","6.57"
"198","3.77"
"199","7.21"
"200","2.93"
"201","1.49"
"202","6.11"
"203","7.08"
"204","3.37"
"205","5.67"
"206","9.74"
"207","5.03"
"208","5.81"
"209","1.05"
"210","7.19"
"211","9.25"
"212","8.62"
"213","1.47"
"214","9.5"
"215","3.56"
"216","8.26"
"217","3.21"
"218","9.01"
"219","7.27"
"220","4.57"
"221","5.09"
"222","9.58"
"223","8.05"
"224","0.55"
"225","1.16"
"226","9.79"
"227","9.04"
"228","3.37"
"229","5.92"
"230","1.82"
"231","1.22"
"232","9.02"
"233","6.29"
"234","4.96"
"235","2.63"
"236","9.91"
"237","6.67"
"238","7.04"
"239","9.84"
"240","2.62"
"241","3.41"
"242","3.95"
"243","3.55"
"244","2.9"
"245","7.62"
"246","1.83"
"247","1.13"
"248","3.98"
"249","7.35"
"250","3.86"
"251","7.23"
"252","5.77"
"253","8.33"
"254","7.68"
"255","4.85"
"256","4.67"
"257","5.18"
"258","8.12"
"259","2.69"
"260","4.95"
"261","3.04"
"262","3.58"
"263","0.42"
